 SYSTEM :            1
        z       Tref      rho    expan        Cp      Tcond
 LAYER:            1
  0.000000E+00  2.316029E+03  5.513119E+03  9.163773E-06  1.200000E+03  7.017590E+00
        z       Tref      rho    expan        Cp      Tcond
 LAYER:            2
  2.890000E+06  1.571615E+03  3.901134E+03  2.897985E-05  1.200000E+03  3.546485E+00
  2.874942E+06  1.577202E+03  3.911811E+03  2.867298E-05  1.200000E+03  3.565925E+00
  2.859079E+06  1.583046E+03  3.923002E+03  2.835658E-05  1.200000E+03  3.586357E+00
  2.842347E+06  1.589165E+03  3.934743E+03  2.803023E-05  1.200000E+03  3.607856E+00
  2.824677E+06  1.595577E+03  3.947072E+03  2.769357E-05  1.200000E+03  3.630502E+00
  2.805991E+06  1.602304E+03  3.960037E+03  2.734609E-05  1.200000E+03  3.654390E+00
  2.786213E+06  1.609365E+03  3.973676E+03  2.698755E-05  1.200000E+03  3.679606E+00
  2.765255E+06  1.616782E+03  3.988038E+03  2.661758E-05  1.200000E+03  3.706253E+00
  2.743030E+06  1.624576E+03  4.003170E+03  2.623597E-05  1.200000E+03  3.734431E+00
  2.719440E+06  1.632769E+03  4.019121E+03  2.584250E-05  1.200000E+03  3.764252E+00
  2.694395E+06  1.641381E+03  4.035937E+03  2.543721E-05  1.200000E+03  3.795817E+00
  2.667796E+06  1.650433E+03  4.053665E+03  2.502017E-05  1.200000E+03  3.829237E+00
  2.639551E+06  1.659939E+03  4.072345E+03  2.459172E-05  1.200000E+03  3.864610E+00
  2.609576E+06  1.669914E+03  4.092013E+03  2.415239E-05  1.200000E+03  3.902028E+00
  2.577787E+06  1.680366E+03  4.112697E+03  2.370290E-05  1.200000E+03  3.941576E+00
  2.544121E+06  1.691299E+03  4.134415E+03  2.324427E-05  1.200000E+03  3.983314E+00
  2.508531E+06  1.702707E+03  4.157169E+03  2.277783E-05  1.200000E+03  4.027281E+00
  2.470998E+06  1.714578E+03  4.180947E+03  2.230520E-05  1.200000E+03  4.073482E+00
  2.431514E+06  1.726893E+03  4.205725E+03  2.182808E-05  1.200000E+03  4.121908E+00
  2.390106E+06  1.739625E+03  4.231460E+03  2.134849E-05  1.200000E+03  4.172506E+00
  2.346835E+06  1.752734E+03  4.258087E+03  2.086860E-05  1.200000E+03  4.225184E+00
  2.301773E+06  1.766182E+03  4.285539E+03  2.039048E-05  1.200000E+03  4.279839E+00
  2.255029E+06  1.779918E+03  4.313726E+03  1.991633E-05  1.200000E+03  4.336322E+00
  2.206720E+06  1.793894E+03  4.342558E+03  1.944809E-05  1.200000E+03  4.394482E+00
  2.156983E+06  1.808057E+03  4.371936E+03  1.898762E-05  1.200000E+03  4.454143E+00
  2.105950E+06  1.822358E+03  4.401769E+03  1.853640E-05  1.200000E+03  4.515138E+00
  2.053777E+06  1.836747E+03  4.431955E+03  1.809584E-05  1.200000E+03  4.577277E+00
  2.000589E+06  1.851182E+03  4.462414E+03  1.766688E-05  1.200000E+03  4.640408E+00
  1.946525E+06  1.865621E+03  4.493060E+03  1.725030E-05  1.200000E+03  4.704365E+00
  1.891706E+06  1.880030E+03  4.523824E+03  1.684661E-05  1.200000E+03  4.769006E+00
  1.836242E+06  1.894379E+03  4.554642E+03  1.645607E-05  1.200000E+03  4.834203E+00
  1.780227E+06  1.908645E+03  4.585463E+03  1.607874E-05  1.200000E+03  4.899850E+00
  1.723754E+06  1.922804E+03  4.616238E+03  1.571460E-05  1.200000E+03  4.965842E+00
  1.666890E+06  1.936844E+03  4.646936E+03  1.536339E-05  1.200000E+03  5.032107E+00
  1.609706E+06  1.950750E+03  4.677522E+03  1.502488E-05  1.200000E+03  5.098567E+00
  1.552252E+06  1.964513E+03  4.707974E+03  1.469867E-05  1.200000E+03  5.165171E+00
  1.494577E+06  1.978125E+03  4.738273E+03  1.438438E-05  1.200000E+03  5.231867E+00
  1.436715E+06  1.991584E+03  4.768407E+03  1.408153E-05  1.200000E+03  5.298623E+00
  1.378710E+06  2.004883E+03  4.798358E+03  1.378975E-05  1.200000E+03  5.365397E+00
  1.320578E+06  2.018023E+03  4.828126E+03  1.350850E-05  1.200000E+03  5.432174E+00
  1.262346E+06  2.031002E+03  4.857701E+03  1.323735E-05  1.200000E+03  5.498929E+00
  1.204027E+06  2.043824E+03  4.887086E+03  1.297583E-05  1.200000E+03  5.565657E+00
  1.145652E+06  2.056484E+03  4.916268E+03  1.272356E-05  1.200000E+03  5.632324E+00
  1.087234E+06  2.068985E+03  4.945250E+03  1.248011E-05  1.200000E+03  5.698925E+00
  1.028771E+06  2.081332E+03  4.974036E+03  1.224502E-05  1.200000E+03  5.765465E+00
  9.702971E+05  2.093522E+03  5.002616E+03  1.201800E-05  1.200000E+03  5.831911E+00
  9.118233E+05  2.105556E+03  5.030992E+03  1.179868E-05  1.200000E+03  5.898257E+00
  8.533605E+05  2.117437E+03  5.059162E+03  1.158672E-05  1.200000E+03  5.964495E+00
  7.949473E+05  2.129162E+03  5.087114E+03  1.138188E-05  1.200000E+03  6.030585E+00
  7.366113E+05  2.140728E+03  5.114841E+03  1.118391E-05  1.200000E+03  6.096503E+00
  6.784131E+05  2.152129E+03  5.142319E+03  1.099266E-05  1.200000E+03  6.162183E+00
  6.204134E+05  2.163356E+03  5.169527E+03  1.080799E-05  1.200000E+03  6.227562E+00
  5.627168E+05  2.174395E+03  5.196420E+03  1.062989E-05  1.200000E+03  6.292526E+00
  5.054777E+05  2.185221E+03  5.222936E+03  1.045849E-05  1.200000E+03  6.356907E+00
  4.488946E+05  2.195803E+03  5.248989E+03  1.029399E-05  1.200000E+03  6.420485E+00
  3.932541E+05  2.206096E+03  5.274459E+03  1.013682E-05  1.200000E+03  6.482944E+00
  3.389089E+05  2.216042E+03  5.299194E+03  9.987520E-06  1.200000E+03  6.543892E+00
  2.863001E+05  2.225572E+03  5.323009E+03  9.846808E-06  1.200000E+03  6.602842E+00
  2.359183E+05  2.234609E+03  5.345697E+03  9.715438E-06  1.200000E+03  6.659249E+00
  1.882594E+05  2.243077E+03  5.367055E+03  9.594111E-06  1.200000E+03  6.712565E+00
  1.437371E+05  2.250920E+03  5.386915E+03  9.483268E-06  1.200000E+03  6.762336E+00
  1.026268E+05  2.258103E+03  5.405176E+03  9.382999E-06  1.200000E+03  6.808262E+00
  6.503338E+04  2.264623E+03  5.421811E+03  9.293006E-06  1.200000E+03  6.850232E+00
  3.089058E+04  2.270504E+03  5.436867E+03  9.212644E-06  1.200000E+03  6.888329E+00
  0.000000E+00  2.275793E+03  5.450446E+03  9.141034E-06  1.200000E+03  6.922779E+00
        z       Tref      rho    expan        Cp      Tcond
 LAYER:            3
  2.890000E+06  1.571612E+03  3.901127E+03  2.897980E-05  1.200000E+03  3.546479E+00
  2.874942E+06  1.577199E+03  3.911805E+03  2.867293E-05  1.200000E+03  3.565920E+00
  2.859079E+06  1.583043E+03  3.922995E+03  2.835654E-05  1.200000E+03  3.586351E+00
  2.842347E+06  1.589162E+03  3.934736E+03  2.803019E-05  1.200000E+03  3.607850E+00
  2.824677E+06  1.595574E+03  3.947066E+03  2.769352E-05  1.200000E+03  3.630496E+00
  2.805991E+06  1.602301E+03  3.960030E+03  2.734605E-05  1.200000E+03  3.654384E+00
  2.786213E+06  1.609362E+03  3.973669E+03  2.698751E-05  1.200000E+03  3.679600E+00
  2.765255E+06  1.616779E+03  3.988031E+03  2.661755E-05  1.200000E+03  3.706246E+00
  2.743030E+06  1.624572E+03  4.003163E+03  2.623593E-05  1.200000E+03  3.734425E+00
  2.719440E+06  1.632766E+03  4.019114E+03  2.584246E-05  1.200000E+03  3.764245E+00
  2.694395E+06  1.641378E+03  4.035930E+03  2.543718E-05  1.200000E+03  3.795810E+00
  2.667796E+06  1.650430E+03  4.053658E+03  2.502014E-05  1.200000E+03  3.829230E+00
  2.639551E+06  1.659936E+03  4.072339E+03  2.459169E-05  1.200000E+03  3.864604E+00
  2.609576E+06  1.669911E+03  4.092006E+03  2.415236E-05  1.200000E+03  3.902021E+00
  2.577787E+06  1.680363E+03  4.112690E+03  2.370287E-05  1.200000E+03  3.941569E+00
  2.544121E+06  1.691295E+03  4.134408E+03  2.324424E-05  1.200000E+03  3.983307E+00
  2.508531E+06  1.702704E+03  4.157162E+03  2.277780E-05  1.200000E+03  4.027274E+00
  2.470998E+06  1.714574E+03  4.180940E+03  2.230517E-05  1.200000E+03  4.073475E+00
  2.431514E+06  1.726890E+03  4.205718E+03  2.182806E-05  1.200000E+03  4.121900E+00
  2.390106E+06  1.739621E+03  4.231452E+03  2.134846E-05  1.200000E+03  4.172498E+00
