       #Time      #Total      #Solid BsHz    #Molten BsHz   #Prim  
  6.9165447E+15    1525490.0     799450.0          0.0     726040.0
  6.9610904E+15    1525490.0     799450.0          0.0     726040.0
  7.0059872E+15    1525490.0     799450.0          0.0     726040.0
  7.0448685E+15    1525490.0     799450.0          0.0     726040.0
  7.0845575E+15    1525490.0     799450.0          0.0     726040.0
  7.1244081E+15    1525490.0     799450.0          0.0     726040.0
  7.1658895E+15    1525490.0     799450.0          0.0     726040.0
  7.2082729E+15    1525490.0     799450.0          0.0     726040.0
  7.2490524E+15    1525490.0     799450.0          0.0     726040.0
  7.2888312E+15    1525490.0     799450.0          0.0     726040.0
  7.3283089E+15    1525490.0     799450.0          0.0     726040.0
  7.3689342E+15    1525490.0     799450.0          0.0     726040.0
  7.4059450E+15    1525490.0     799450.0          0.0     726040.0
  7.4423724E+15    1525490.0     799450.0          0.0     726040.0
  7.4776891E+15    1525490.0     799450.0          0.0     726040.0
  7.5120764E+15    1525490.0     799450.0          0.0     726040.0
  7.5489852E+15    1525490.0     799450.0          0.0     726040.0
  7.5879206E+15    1525490.0     799450.0          0.0     726040.0
  7.6267120E+15    1525490.0     799450.0          0.0     726040.0
  7.6656928E+15    1525490.0     799450.0          0.0     726040.0
  7.7033839E+15    1525490.0     799450.0          0.0     726040.0
  7.7406482E+15    1525490.0     799450.0          0.0     726040.0
  7.7760068E+15    1525490.0     799450.0          0.0     726040.0
  7.8122722E+15    1525490.0     799450.0          0.0     726040.0
  7.8443133E+15    1525490.0     799450.0          0.0     726040.0
  7.8763249E+15    1525490.0     799450.0          0.0     726040.0
  7.9129276E+15    1525490.0     799450.0          0.0     726040.0
  7.9512177E+15    1525490.0     799450.0          0.0     726040.0
  7.9883806E+15    1525490.0     799450.0          0.0     726040.0
  8.0266285E+15    1525490.0     799450.0          0.0     726040.0
  8.0612872E+15    1525490.0     799450.0          0.0     726040.0
  8.0961530E+15    1525490.0     799450.0          0.0     726040.0
  8.1295108E+15    1525490.0     799450.0          0.0     726040.0
  8.1644305E+15    1525490.0     799450.0          0.0     726040.0
  8.2000765E+15    1525490.0     799450.0          0.0     726040.0
  8.2366910E+15    1525490.0     799450.0          0.0     726040.0
  8.2718030E+15    1525490.0     799450.0          0.0     726040.0
  8.3054883E+15    1525490.0     799450.0          0.0     726040.0
  8.3388707E+15    1525490.0     799450.0          0.0     726040.0
  8.3720040E+15    1525490.0     799450.0          0.0     726040.0
  8.4059354E+15    1525490.0     799450.0          0.0     726040.0
  8.4436136E+15    1525490.0     799450.0          0.0     726040.0
  8.4825594E+15    1525490.0     799450.0          0.0     726040.0
  8.5263252E+15    1525490.0     799450.0          0.0     726040.0
  8.5744489E+15    1525490.0     799450.0          0.0     726040.0
  8.6149599E+15    1525490.0     799450.0          0.0     726040.0
  8.6536972E+15    1525490.0     799450.0          0.0     726040.0
  8.6928217E+15    1525490.0     799450.0          0.0     726040.0
  8.7294219E+15    1525490.0     799450.0          0.0     726040.0
  8.7641822E+15    1525490.0     799450.0          0.0     726040.0
  8.8029183E+15    1525490.0     799450.0          0.0     726040.0
  8.8445930E+15    1525490.0     799450.0          0.0     726040.0
  8.8871489E+15    1525490.0     799450.0          0.0     726040.0
  8.9281216E+15    1525490.0     799450.0          0.0     726040.0
  8.9732598E+15    1525490.0     799450.0          0.0     726040.0
  9.0169812E+15    1525490.0     799450.0          0.0     726040.0
  9.0624456E+15    1525490.0     799450.0          0.0     726040.0
  9.1076129E+15    1525490.0     799450.0          0.0     726040.0
  9.1551548E+15    1525490.0     799450.0          0.0     726040.0
  9.2000041E+15    1525490.0     799450.0          0.0     726040.0
  9.2436820E+15    1525490.0     799450.0          0.0     726040.0
  9.2895042E+15    1525490.0     799450.0          0.0     726040.0
  9.3356926E+15    1525490.0     799450.0          0.0     726040.0
  9.3805863E+15    1525490.0     799450.0          0.0     726040.0
  9.4252442E+15    1525490.0     799450.0          0.0     726040.0
  9.4688100E+15    1525490.0     799450.0          0.0     726040.0
  9.5118083E+15    1525490.0     799450.0          0.0     726040.0
  9.5537769E+15    1525490.0     799450.0          0.0     726040.0
  9.5953625E+15    1525490.0     799450.0          0.0     726040.0
  9.6368531E+15    1525490.0     799450.0          0.0     726040.0
  9.6748611E+15    1525490.0     799450.0          0.0     726040.0
  9.7131908E+15    1525490.0     799450.0          0.0     726040.0
  9.7543345E+15    1525490.0     799450.0          0.0     726040.0
  9.7959905E+15    1525490.0     799450.0          0.0     726040.0
  9.8350669E+15    1525490.0     799450.0          0.0     726040.0
  9.8754319E+15    1525490.0     799450.0          0.0     726040.0
  9.9120443E+15    1525490.0     799450.0          0.0     726040.0
  9.9496768E+15    1525490.0     799450.0          0.0     726040.0
  9.9924530E+15    1525490.0     799450.0          0.0     726040.0
  1.0042158E+16    1525490.0     799450.0          0.0     726040.0
  1.0093862E+16    1525490.0     799450.0          0.0     726040.0
  1.0141090E+16    1525490.0     799450.0          0.0     726040.0
  1.0187325E+16    1525490.0     799450.0          0.0     726040.0
  1.0237330E+16    1525490.0     799450.0          0.0     726040.0
  1.0283304E+16    1525490.0     799450.0          0.0     726040.0
  1.0326464E+16    1525490.0     799450.0          0.0     726040.0
  1.0374565E+16    1525490.0     799450.0          0.0     726040.0
  1.0417598E+16    1525490.0     799450.0          0.0     726040.0
  1.0461979E+16    1525490.0     799450.0          0.0     726040.0
  1.0504592E+16    1525490.0     799450.0          0.0     726040.0
  1.0549514E+16    1525490.0     799450.0          0.0     726040.0
  1.0592732E+16    1525490.0     799450.0          0.0     726040.0
